PartitionKey,SortKey,Level2,Level3
LABEL,LABEL-1,Attach permanently,Attach permanently
LABEL,LABEL-2,Attach temporarily,Attach temporarily
LABEL,LABEL-3,Passive movement,Passively move through/on liquids
LABEL,LABEL-4,Active movement,Actively move through/on liquids
LABEL,LABEL-5,Active movement,Actively move through/on solids
LABEL,LABEL-6,Active movement,Actively move through gases
LABEL,LABEL-7,Protect from living threats,Protect from microbes
LABEL,LABEL-8,Protect from non-living threats,Protect from excess liquids
LABEL,LABEL-9,Protect from non-living threats,Protect from loss of liquids
LABEL,LABEL-10,Protect from non-living threats,Protect from temperature
LABEL,LABEL-11,Protect from non-living threats,Protect from chemicals
LABEL,LABEL-12,Prevent structural failure,Prevent fracture/rupture
LABEL,LABEL-13,Manage structural forces,Manage shear
LABEL,LABEL-14,Manage structural forces,Manage stress/strain
LABEL,LABEL-15,Manage structural forces,Manage impact
LABEL,LABEL-16,Individual benefit,Regulate reproduction or growth
LABEL,LABEL-17,Chemically assemble,Chemically assemble organic compounds
LABEL,LABEL-18,Chemically break down,Chemically break down organic compounds
LABEL,LABEL-19,Physically assemble structure,Physically assemble structure
LABEL,LABEL-20,Send signals,Send light signals in the visible spectrum
LABEL,LABEL-21,Send signals,Send chemical signals
LABEL,LABEL-22,Process signals,Respond to signals
LABEL,LABEL-23,Sense signals/environmental cues,Sense light in the visible spectrum
LABEL,LABEL-24,Sense signals/environmental cues,Sense chemicals
LABEL,LABEL-25,Distribute resources,Distribute solids
LABEL,LABEL-26,Distribute resources,Distribute liquids
LABEL,LABEL-27,Change size/shape,Change size/shape
LABEL,LABEL-28,Optimize shape/materials,Optimize shape/materials
LABEL,LABEL-29,Manage structural forces,Manage wear
